x;Curve10;Curve5;Curve0;Curve0l;Curve5l;Curve10l
45,692;-0,7634;-0,7151;-0,4631;-0,1798;0,0806;0,2102
46,62;-0,7343;-0,6876;-0,4444;-0,1726;0,0948;0,2149
46,844;-0,727;-0,6815;-0,4401;-0,1705;0,0977;0,2166
48,097;-0,6839;-0,6486;-0,4176;-0,1561;0,1083;0,2321
48,162;-0,6817;-0,6469;-0,4165;-0,1553;0,1084;0,2328
48,574;-0,6676;-0,6352;-0,4096;-0,1498;0,1079;0,2324
49,131;-0,6496;-0,6188;-0,4006;-0,1419;0,1035;0,2227
49,144;-0,6492;-0,6184;-0,4004;-0,1417;0,1034;0,2224
50,397;-0,6134;-0,5821;-0,382;-0,1228;0,0827;0,1953
51,549;-0,5828;-0,5525;-0,369;-0,1053;0,0603;0,1729
51,642;-0,5803;-0,5503;-0,3682;-0,104;0,0586;0,1713
52,907;-0,5464;-0,5271;-0,3603;-0,0871;0,0385;0,1511
53,222;-0,5385;-0,5262;-0,3593;-0,0837;0,0344;0,1467
54,164;-0,5175;-0,5391;-0,3583;-0,0762;0,0242;0,135
54,245;-0,5159;-0,5393;-0,3583;-0,0758;0,0235;0,1341
54,26;-0,5156;-0,5393;-0,3583;-0,0758;0,0233;0,1339
55,601;-0,4959;-0,5332;-0,3622;-0,0764;0,0138;0,1208
55,733;-0,4948;-0,5325;-0,3629;-0,0771;0,0131;0,1197
56,329;-0,492;-0,5298;-0,3667;-0,0816;0,0105;0,1151
56,677;-0,4917;-0,5292;-0,3694;-0,085;0,0093;0,1127
56,878;-0,4919;-0,5293;-0,3711;-0,0872;0,0087;0,1114
58,351;-0,4962;-0,5372;-0,3862;-0,1051;0,006;0,1035
59,191;-0,4961;-0,5419;-0,3937;-0,115;0,0055;0,1001
59,392;-0,4956;-0,5424;-0,3951;-0,1172;0,0054;0,0994
60,863;-0,4864;-0,5391;-0,3991;-0,13;0,0062;0,0951
61,808;-0,4774;-0,5321;-0,3969;-0,1352;0,0073;0,093
61,906;-0,4764;-0,5312;-0,3966;-0,1356;0,0075;0,0928
62,311;-0,4723;-0,5272;-0,3947;-0,1369;0,0081;0,0921
63,061;-0,465;-0,5181;-0,3901;-0,1383;0,0095;0,091
64,215;-0,4437;-0,4996;-0,3793;-0,1383;0,0121;0,0897
64,522;-0,4381;-0,4937;-0,3754;-0,138;0,0129;0,0895
65,467;-0,4212;-0,4737;-0,3609;-0,1362;0,0154;0,0889
66,725;-0,3986;-0,4445;-0,3376;-0,1323;0,0191;0,0885
